Academic_Success_Center 7
   1916.475861 634.5215877 0
   1916.475861 610.4771673 0
   1913.064754 607.1549484 0
   1885.45367 607.1549484 0
   1882.12034 610.5660561 0
   1882.12034 628.1549274 0
   1882.12034 634.5215877 0
   1885.531448 638.0882508 0
Life_Sciences_Building 10
   1625.842819 233.8330995 0
   1666.320556 151.7887371 0
   1667.353888 143.9443005 0
   1635.709475 134.9776428 0
   1625.265041 137.9109732 0
   1585.820636 220.7220015 0
   1594.131739 223.33311 0
   1591.842853 227.7997722 1
   1614.198386 234.5886543 0
   1617.042827 231.6442128 0
Lightsey_Bridge 23
   2353.475424 344.3663223 0
   2367.842077 357.7885311 0
   2370.564296 355.8218664 0
   2375.830958 360.7440837 0
   2389.708721 350.6996493 0
   2386.642058 347.8218744 0
   2388.453167 346.5107646 0
   2386.008725 344.221878 0
   2387.364279 343.2441012 0
   2383.353172 339.4996605 0
   2380.330953 339.4996605 0
   2383.897616 336.9218853 0
   2382.397618 335.5107756 0
   2380.464286 336.9218853 0
   2372.61985 329.5885593 0
   2371.230962 330.5885583 0
   2369.619853 329.0885598 0
   2367.908743 330.3218919 0
   2360.575417 323.4774543 0
   2351.542093 330.0107811 0
   2355.808755 333.9885549 0
   2351.653204 336.9885519 0
   2356.897643 341.888547 0
Lightsey_Bridge_i 56
   2310.853245 300.3996996 0
   2321.353234 296.7663699 0
   2319.297681 292.7219295 0
   2322.086567 291.7552638 0
   2325.35323 298.1441463 0
   2324.475453 299.2997007 0
   2327.175451 304.3885845 0
   2323.242121 305.7996942 0
   2325.997674 310.9774668 0
   2335.819886 307.4330259 0
   2337.442107 310.4774673 0
   2347.597652 306.8219154 0
   2345.75321 303.3552522 0
   2353.753202 300.4774773 0
   2351.997648 297.1885917 0
   2357.886531 295.0663716 0
   2356.442088 292.3663743 0
   2360.09764 291.0441534 0
   2358.053198 287.1997128 0
   2352.508759 289.1997108 0
   2350.830983 286.0441584 0
   2346.997653 287.4219348 0
   2345.108766 283.888605 0
   2335.808775 287.2330461 0
   2337.519885 290.444154 0
   2328.975449 293.5330398 0
   2330.553225 296.4997035 0
   2329.886559 297.1441473 0
   2329.842115 298.4552571 0
   2329.097671 297.666369 0
   2328.375449 297.9219243 0
   2324.853231 291.1663755 0
   2325.586563 290.8997091 0
   2322.575455 285.1330482 0
   2326.586562 283.7219385 0
   2324.24212 279.2330541 0
   2314.297686 282.7441617 0
   2312.408799 279.110832 0
   2304.14214 282.0330513 0
   2302.753253 279.3774984 0
   2293.186596 282.7441617 0
   2294.74215 285.7219365 0
   2289.719933 287.4886014 0
   2288.242156 284.6441598 0
   2286.708824 285.1886037 0
   2288.197712 288.0441564 0
   2284.653271 289.2997107 0
   2286.975491 293.7441507 0
   2290.831043 292.3885965 0
   2292.131041 294.8663718 0
   2289.89771 300.2885886 0
   2295.719927 301.8996981 0
   2298.064369 296.1774816 0
   2299.364367 295.7330376 0
   2301.464365 299.8330335 0
   2309.197691 297.1552584 0
Lightsey_Bridge_ii 6
   2457.553098 441.3884475 0
   2473.453082 441.5662251 0
   2473.575304 434.4773433 0
   2483.164184 434.5773432 0
   2483.397517 420.5773572 0
   2457.908653 420.2884686 0
Littlejohn_Coliseum 44
   168.7109424 1001.965665 0
   168.7998312 1012.643432 0
   170.5998294 1021.998978 0
   174.7998252 1033.198967 0
